j0; j1; j2; cos(j0); cos(j1); cos(j2); sin(j0); sin(j1); sin(j2); ee_x; ee_y; ee_qw; ee_qz
 0.484; -1.431; -0.951;  0.885;  0.139;  0.580;  0.465; -0.990; -0.814;  0.111; -0.139;  0.582; -0.813
 0.560; -1.525; -1.107;  0.847;  0.046;  0.448;  0.531; -0.999; -0.894;  0.089; -0.126;  0.510; -0.860
 0.641; -1.617; -1.286;  0.802; -0.046;  0.281;  0.598; -0.999; -0.960;  0.066; -0.108;  0.426; -0.905
 0.730; -1.687; -1.467;  0.745; -0.116;  0.104;  0.667; -0.993; -0.995;  0.049; -0.087;  0.351; -0.936
 0.851; -1.761; -1.640;  0.659; -0.189; -0.069;  0.752; -0.982; -0.998;  0.036; -0.065;  0.291; -0.957
 1.023; -1.828; -1.804;  0.521; -0.254; -0.231;  0.854; -0.967; -0.973;  0.026; -0.042;  0.262; -0.965
 1.224; -1.817; -1.855;  0.340; -0.243; -0.280;  0.940; -0.970; -0.960;  0.032; -0.032;  0.338; -0.941
 1.439; -1.752; -1.840;  0.131; -0.180; -0.266;  0.991; -0.984; -0.964;  0.048; -0.023;  0.474; -0.880
 1.682; -1.663; -1.790; -0.111; -0.092; -0.217;  0.994; -0.996; -0.976;  0.067; -0.007;  0.633; -0.774
 1.973; -1.537; -1.712; -0.392;  0.034; -0.140;  0.920; -0.999; -0.990;  0.083;  0.029;  0.803; -0.595
 2.262; -1.344; -1.619; -0.637;  0.225; -0.048;  0.771; -0.974; -0.999;  0.081;  0.086;  0.939; -0.344
 2.536; -1.093; -1.485; -0.822;  0.459;  0.086;  0.570; -0.888; -0.996;  0.041;  0.151;  1.000; -0.021
 2.821; -0.813; -1.310; -0.949;  0.687;  0.258;  0.315; -0.726; -0.966; -0.053;  0.193;  0.940;  0.342
 3.055; -0.549; -1.102; -0.996;  0.853;  0.452;  0.087; -0.522; -0.892; -0.162;  0.177;  0.764;  0.646
 3.212; -0.320; -0.903; -0.997;  0.949;  0.619; -0.071; -0.314; -0.785; -0.242;  0.116;  0.541;  0.841
 3.211; -0.122; -0.706; -0.998;  0.993;  0.761; -0.070; -0.122; -0.649; -0.280;  0.073;  0.370;  0.929
 3.148;  0.068; -0.469; -1.000;  0.998;  0.892; -0.006;  0.068; -0.452; -0.301;  0.034;  0.196;  0.981
 3.061;  0.301; -0.209; -0.997;  0.955;  0.978;  0.080;  0.297; -0.207; -0.307; -0.015; -0.006;  1.000
 3.004;  0.598;  0.057; -0.991;  0.827;  0.998;  0.137;  0.563;  0.057; -0.284; -0.085; -0.256;  0.967
 2.936;  0.943;  0.303; -0.979;  0.587;  0.954;  0.204;  0.810;  0.299; -0.227; -0.142; -0.497;  0.868
 2.834;  1.290;  0.568; -0.953;  0.277;  0.843;  0.303;  0.961;  0.538; -0.153; -0.163; -0.700;  0.715
 2.714;  1.637;  0.866; -0.910; -0.066;  0.648;  0.414;  0.998;  0.762; -0.073; -0.148; -0.861;  0.508
 2.604;  1.918;  1.184; -0.859; -0.340;  0.378;  0.512;  0.940;  0.926; -0.011; -0.106; -0.961;  0.278
 2.523;  1.919;  1.515; -0.814; -0.341;  0.056;  0.580;  0.940;  0.998; -0.004; -0.073; -0.987;  0.161
 2.433;  1.855;  1.867; -0.759; -0.281; -0.292;  0.651;  0.960;  0.957; -0.008; -0.040; -0.998;  0.064
 2.334;  1.748;  1.961; -0.691; -0.177; -0.381;  0.723;  0.984;  0.925; -0.021; -0.034; -0.993;  0.116
 2.220;  1.636;  1.904; -0.604; -0.065; -0.327;  0.797;  0.998;  0.945; -0.041; -0.041; -0.966;  0.259
 2.116;  1.543;  1.781; -0.518;  0.027; -0.208;  0.855;  1.000;  0.978; -0.066; -0.046; -0.912;  0.409
 2.045;  1.478;  1.611; -0.456;  0.092; -0.040;  0.890;  0.996;  0.999; -0.093; -0.049; -0.839;  0.544
 2.015;  1.458;  1.439; -0.430;  0.113;  0.132;  0.903;  0.994;  0.991; -0.116; -0.050; -0.774;  0.634
