j0; j1; cos(j0); cos(j1); sin(j0); sin(j1); ee_x; ee_y; ee_qw; ee_qz
-2.730; -1.859; -0.917; -0.285; -0.400; -0.959; -0.105;  0.069; -0.662; -0.749
-2.709; -1.707; -0.908; -0.136; -0.419; -0.991; -0.123;  0.063; -0.595; -0.804
-2.668; -1.550; -0.890;  0.021; -0.456; -1.000; -0.141;  0.051; -0.513; -0.859
-2.617; -1.384; -0.865;  0.186; -0.501; -0.983; -0.158;  0.033; -0.416; -0.909
-2.549; -1.224; -0.830;  0.339; -0.558; -0.941; -0.172;  0.009; -0.311; -0.951
-2.432; -1.103; -0.759;  0.451; -0.651; -0.893; -0.177; -0.023; -0.196; -0.981
-2.256; -0.997; -0.633;  0.542; -0.774; -0.840; -0.173; -0.065; -0.056; -0.998
-2.039; -0.900; -0.452;  0.622; -0.892; -0.783; -0.153; -0.111;  0.101; -0.995
-1.846; -0.857; -0.271;  0.655; -0.962; -0.756; -0.127; -0.143;  0.218; -0.976
-1.667; -0.816; -0.096;  0.685; -0.995; -0.729; -0.097; -0.167;  0.323; -0.946
-1.439; -0.718;  0.131;  0.753; -0.991; -0.658; -0.048; -0.191;  0.472; -0.881
-1.210; -0.608;  0.353;  0.821; -0.936; -0.571;  0.008; -0.200;  0.614; -0.789
-1.038; -0.500;  0.508;  0.877; -0.861; -0.480;  0.054; -0.196;  0.719; -0.695
-0.864; -0.351;  0.649;  0.939; -0.760; -0.344;  0.103; -0.179;  0.821; -0.571
-0.624; -0.204;  0.811;  0.979; -0.585; -0.203;  0.155; -0.140;  0.915; -0.403
-0.355; -0.077;  0.938;  0.997; -0.347; -0.076;  0.194; -0.081;  0.977; -0.214
-0.103;  0.044;  0.995;  0.999; -0.103;  0.044;  0.209; -0.017;  1.000; -0.030
 0.125;  0.155;  0.992;  0.988;  0.124;  0.154;  0.205;  0.043;  0.990;  0.139
 0.349;  0.230;  0.940;  0.974;  0.342;  0.228;  0.186;  0.094;  0.958;  0.285
 0.577;  0.283;  0.838;  0.960;  0.545;  0.280;  0.156;  0.138;  0.909;  0.417
 0.764;  0.341;  0.722;  0.942;  0.691;  0.334;  0.122;  0.167;  0.851;  0.525
 0.929;  0.355;  0.599;  0.938;  0.801;  0.348;  0.091;  0.186;  0.801;  0.599
 1.123;  0.369;  0.433;  0.933;  0.902;  0.361;  0.052;  0.200;  0.734;  0.679
 1.311;  0.382;  0.256;  0.928;  0.967;  0.373;  0.012;  0.206;  0.663;  0.749
 1.479;  0.336;  0.091;  0.944;  0.996;  0.329; -0.017;  0.206;  0.616;  0.788
 1.671;  0.243; -0.100;  0.971;  0.995;  0.240; -0.047;  0.203;  0.576;  0.818
 1.863;  0.142; -0.288;  0.990;  0.958;  0.141; -0.075;  0.196;  0.538;  0.843
 2.041;  0.044; -0.453;  0.999;  0.892;  0.044; -0.099;  0.185;  0.504;  0.864
