j0; j1; j2; j3; j4; cos(j0); cos(j1); cos(j2); cos(j3); cos(j4); sin(j0); sin(j1); sin(j2); sin(j3); sin(j4); ee_x; ee_y; ee_z; ee_qw; ee_qx; ee_qy; ee_qz
 0.462; -0.188;  0.464;  0.740; -1.605;  0.895;  0.982;  0.894;  0.739; -0.035;  0.446; -0.187;  0.448;  0.674; -0.999;  0.039;  0.154;  0.407;  0.511; -0.689;  0.185;  0.480
 0.566; -0.334;  0.587;  0.838; -1.532;  0.844;  0.945;  0.833;  0.669;  0.039;  0.536; -0.328;  0.554;  0.743; -0.999;  0.018;  0.154;  0.401;  0.491; -0.673;  0.194;  0.518
 0.719; -0.500;  0.753;  0.922; -1.455;  0.752;  0.878;  0.729;  0.604;  0.115;  0.659; -0.479;  0.684;  0.797; -0.993; -0.008;  0.151;  0.388;  0.452; -0.664;  0.193;  0.564
 0.933; -0.668;  0.932;  0.978; -1.347;  0.596;  0.785;  0.597;  0.559;  0.222;  0.803; -0.619;  0.803;  0.829; -0.975; -0.038;  0.146;  0.373;  0.405; -0.658;  0.178;  0.610
 1.190; -0.787;  1.126;  1.001; -1.221;  0.371;  0.706;  0.430;  0.540;  0.343;  0.929; -0.708;  0.903;  0.842; -0.939; -0.064;  0.145;  0.352;  0.332; -0.657;  0.170;  0.655
 1.464; -0.859;  1.313;  1.040; -1.080;  0.107;  0.653;  0.255;  0.506;  0.471;  0.994; -0.757;  0.967;  0.863; -0.882; -0.091;  0.146;  0.319;  0.235; -0.670;  0.181;  0.680
 1.653; -0.929;  1.472;  1.112; -0.899; -0.082;  0.599;  0.099;  0.443;  0.622;  0.997; -0.801;  0.995;  0.896; -0.783; -0.108;  0.148;  0.279;  0.174; -0.688;  0.229;  0.666
 1.651; -0.987;  1.603;  1.218; -0.686; -0.080;  0.551; -0.032;  0.345;  0.774;  0.997; -0.834;  0.999;  0.939; -0.634; -0.090;  0.165;  0.236;  0.197; -0.686;  0.351;  0.605
 1.578; -1.027;  1.615;  1.338; -0.425; -0.007;  0.517; -0.044;  0.231;  0.911;  1.000; -0.856;  0.999;  0.973; -0.412; -0.051;  0.177;  0.205;  0.270; -0.655;  0.480;  0.518
 1.480; -1.055;  1.576;  1.467; -0.101;  0.090;  0.494; -0.006;  0.104;  0.995;  0.996; -0.870;  1.000;  0.995; -0.100;  0.004;  0.174;  0.190;  0.374; -0.585;  0.600;  0.398
 1.423; -1.016;  1.549;  1.613;  0.274;  0.147;  0.527;  0.022; -0.042;  0.963;  0.989; -0.850;  1.000;  0.999;  0.271;  0.056;  0.153;  0.168;  0.445; -0.513;  0.698;  0.227
 1.368; -0.911;  1.520;  1.623;  0.657;  0.201;  0.613;  0.051; -0.052;  0.792;  0.980; -0.790;  0.999;  0.999;  0.610;  0.100;  0.124;  0.164;  0.505; -0.428;  0.749;  0.038
 1.275; -0.801;  1.481;  1.559;  1.043;  0.292;  0.696;  0.089;  0.012;  0.504;  0.956; -0.718;  0.996;  1.000;  0.864;  0.136;  0.092;  0.188;  0.571; -0.290;  0.756; -0.135
 1.198; -0.736;  1.458;  1.474;  1.451;  0.364;  0.741;  0.113;  0.096;  0.119;  0.931; -0.671;  0.994;  0.995;  0.993;  0.149;  0.053;  0.223;  0.614; -0.126;  0.720; -0.296
 1.122; -0.709;  1.458;  1.427;  1.768;  0.434;  0.759;  0.112;  0.144; -0.196;  0.901; -0.651;  0.994;  0.990;  0.981;  0.139;  0.018;  0.248;  0.614;  0.011;  0.663; -0.429
 1.007; -0.715;  1.509;  1.428;  1.744;  0.534;  0.755;  0.061;  0.143; -0.172;  0.845; -0.656;  0.998;  0.990;  0.985;  0.143;  0.005;  0.238;  0.581;  0.020;  0.668; -0.464
 0.843; -0.706;  1.588;  1.439;  1.668;  0.665;  0.761; -0.017;  0.131; -0.097;  0.747; -0.649;  1.000;  0.991;  0.995;  0.148; -0.013;  0.221;  0.526;  0.024;  0.683; -0.505
 0.614; -0.691;  1.599;  1.415;  1.562;  0.817;  0.771; -0.028;  0.156;  0.009;  0.576; -0.637;  1.000;  0.988;  1.000;  0.152; -0.040;  0.208;  0.465;  0.070;  0.706; -0.530
 0.349; -0.706;  1.583;  1.402;  1.407;  0.940;  0.761; -0.012;  0.168;  0.163;  0.342; -0.649;  1.000;  0.986;  0.987;  0.149; -0.072;  0.202;  0.416;  0.146;  0.729; -0.523
 0.114; -0.744;  1.566;  1.425;  1.240;  0.994;  0.735;  0.005;  0.145;  0.325;  0.114; -0.678;  1.000;  0.989;  0.946;  0.138; -0.098;  0.195;  0.382;  0.209;  0.747; -0.503
-0.068; -0.831;  1.570;  1.419;  1.053;  0.998;  0.674;  0.001;  0.152;  0.495; -0.068; -0.739;  1.000;  0.988;  0.869;  0.131; -0.113;  0.194;  0.393;  0.263;  0.753; -0.457
-0.215; -0.976;  1.580;  1.418;  0.824;  0.977;  0.560; -0.010;  0.152;  0.679; -0.213; -0.828;  1.000;  0.988;  0.734;  0.126; -0.118;  0.201;  0.447;  0.295;  0.749; -0.389
-0.346; -1.125;  1.575;  1.418;  0.534;  0.941;  0.431; -0.004;  0.152;  0.861; -0.339; -0.902;  1.000;  0.988;  0.509;  0.127; -0.111;  0.218;  0.529;  0.288;  0.737; -0.308
-0.507; -1.289;  1.563;  1.406;  0.208;  0.874;  0.278;  0.007;  0.164;  0.978; -0.485; -0.960;  1.000;  0.986;  0.206;  0.124; -0.097;  0.246;  0.623;  0.253;  0.700; -0.241
-0.689; -1.452;  1.549;  1.448; -0.095;  0.772;  0.118;  0.022;  0.123;  0.996; -0.636; -0.993;  1.000;  0.992; -0.095;  0.112; -0.078;  0.264;  0.685;  0.204;  0.667; -0.211
-0.866; -1.563;  1.541;  1.536; -0.331;  0.648;  0.007;  0.030;  0.035;  0.946; -0.762; -1.000;  1.000;  0.999; -0.325;  0.105; -0.063;  0.259;  0.698;  0.175;  0.665; -0.198
-1.048; -1.602;  1.529;  1.598; -0.525;  0.499; -0.031;  0.042; -0.028;  0.865; -0.866; -1.000;  0.999;  1.000; -0.501;  0.102; -0.057;  0.251;  0.694;  0.172;  0.672; -0.194
